question,answer
What is machine learning? (1),Machine learning is a field of AI that enables systems to learn from data.
What is supervised learning? (2),Supervised learning uses labeled data for training models.
What is unsupervised learning? (3),Unsupervised learning finds patterns in unlabeled data.
What is overfitting? (4),Overfitting happens when a model memorizes training data.
What is underfitting? (5),Underfitting occurs when a model is too simple.
What is Python? (6),Python is a high-level programming language.
What are Python lists? (7),Lists are ordered and mutable collections in Python.
What is a function in Python? (8),A function is a reusable block of code.
What is a dictionary? (9),A dictionary stores data in key-value pairs.
What is indentation? (10),Indentation defines code blocks in Python.
What is NLP? (11),NLP enables computers to understand human language.
What is tokenization? (12),Tokenization splits text into words or tokens.
What is TF-IDF? (13),TF-IDF measures word importance in documents.
What is stemming? (14),Stemming reduces words to their root form.
What is lemmatization? (15),Lemmatization converts words to base form.
What is data science? (16),Data science extracts insights from data.
What is data preprocessing? (17),Data preprocessing cleans raw data.
What is feature extraction? (18),Feature extraction converts data into features.
What is data visualization? (19),Visualization represents data graphically.
What is a dataset? (20),A dataset is a collection of data.
What is machine learning? (21),Machine learning is a field of AI that enables systems to learn from data.
What is supervised learning? (22),Supervised learning uses labeled data for training models.
What is unsupervised learning? (23),Unsupervised learning finds patterns in unlabeled data.
What is overfitting? (24),Overfitting happens when a model memorizes training data.
What is underfitting? (25),Underfitting occurs when a model is too simple.
What is Python? (26),Python is a high-level programming language.
What are Python lists? (27),Lists are ordered and mutable collections in Python.
What is a function in Python? (28),A function is a reusable block of code.
What is a dictionary? (29),A dictionary stores data in key-value pairs.
What is indentation? (30),Indentation defines code blocks in Python.
What is NLP? (31),NLP enables computers to understand human language.
What is tokenization? (32),Tokenization splits text into words or tokens.
What is TF-IDF? (33),TF-IDF measures word importance in documents.
What is stemming? (34),Stemming reduces words to their root form.
What is lemmatization? (35),Lemmatization converts words to base form.
What is data science? (36),Data science extracts insights from data.
What is data preprocessing? (37),Data preprocessing cleans raw data.
What is feature extraction? (38),Feature extraction converts data into features.
What is data visualization? (39),Visualization represents data graphically.
What is a dataset? (40),A dataset is a collection of data.
What is machine learning? (41),Machine learning is a field of AI that enables systems to learn from data.
What is supervised learning? (42),Supervised learning uses labeled data for training models.
What is unsupervised learning? (43),Unsupervised learning finds patterns in unlabeled data.
What is overfitting? (44),Overfitting happens when a model memorizes training data.
What is underfitting? (45),Underfitting occurs when a model is too simple.
What is Python? (46),Python is a high-level programming language.
What are Python lists? (47),Lists are ordered and mutable collections in Python.
What is a function in Python? (48),A function is a reusable block of code.
What is a dictionary? (49),A dictionary stores data in key-value pairs.
What is indentation? (50),Indentation defines code blocks in Python.
What is NLP? (51),NLP enables computers to understand human language.
What is tokenization? (52),Tokenization splits text into words or tokens.
What is TF-IDF? (53),TF-IDF measures word importance in documents.
What is stemming? (54),Stemming reduces words to their root form.
What is lemmatization? (55),Lemmatization converts words to base form.
What is data science? (56),Data science extracts insights from data.
What is data preprocessing? (57),Data preprocessing cleans raw data.
What is feature extraction? (58),Feature extraction converts data into features.
What is data visualization? (59),Visualization represents data graphically.
What is a dataset? (60),A dataset is a collection of data.
What is machine learning? (61),Machine learning is a field of AI that enables systems to learn from data.
What is supervised learning? (62),Supervised learning uses labeled data for training models.
What is unsupervised learning? (63),Unsupervised learning finds patterns in unlabeled data.
What is overfitting? (64),Overfitting happens when a model memorizes training data.
What is underfitting? (65),Underfitting occurs when a model is too simple.
What is Python? (66),Python is a high-level programming language.
What are Python lists? (67),Lists are ordered and mutable collections in Python.
What is a function in Python? (68),A function is a reusable block of code.
What is a dictionary? (69),A dictionary stores data in key-value pairs.
What is indentation? (70),Indentation defines code blocks in Python.
What is NLP? (71),NLP enables computers to understand human language.
What is tokenization? (72),Tokenization splits text into words or tokens.
What is TF-IDF? (73),TF-IDF measures word importance in documents.
What is stemming? (74),Stemming reduces words to their root form.
What is lemmatization? (75),Lemmatization converts words to base form.
What is data science? (76),Data science extracts insights from data.
What is data preprocessing? (77),Data preprocessing cleans raw data.
What is feature extraction? (78),Feature extraction converts data into features.
What is data visualization? (79),Visualization represents data graphically.
What is a dataset? (80),A dataset is a collection of data.
What is machine learning? (81),Machine learning is a field of AI that enables systems to learn from data.
What is supervised learning? (82),Supervised learning uses labeled data for training models.
What is unsupervised learning? (83),Unsupervised learning finds patterns in unlabeled data.
What is overfitting? (84),Overfitting happens when a model memorizes training data.
What is underfitting? (85),Underfitting occurs when a model is too simple.
What is Python? (86),Python is a high-level programming language.
What are Python lists? (87),Lists are ordered and mutable collections in Python.
What is a function in Python? (88),A function is a reusable block of code.
What is a dictionary? (89),A dictionary stores data in key-value pairs.
What is indentation? (90),Indentation defines code blocks in Python.
What is NLP? (91),NLP enables computers to understand human language.
What is tokenization? (92),Tokenization splits text into words or tokens.
What is TF-IDF? (93),TF-IDF measures word importance in documents.
What is stemming? (94),Stemming reduces words to their root form.
What is lemmatization? (95),Lemmatization converts words to base form.
What is data science? (96),Data science extracts insights from data.
What is data preprocessing? (97),Data preprocessing cleans raw data.
What is feature extraction? (98),Feature extraction converts data into features.
What is data visualization? (99),Visualization represents data graphically.
What is a dataset? (100),A dataset is a collection of data.
